,City,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
472,Godfrey,0.0,38.96,-90.19,63,75,5.1
473,Lisakovsk,-21.85,52.55,62.49,46,0,1.36
474,Fairbanks,-7.2,64.84,-147.72,94,75,2.41
475,Tiksi,-38.5,71.64,128.87,74,36,1.36
476,Ostrovnoy,-4.05,68.05,39.51,94,68,5.31
477,Birao,20.08,10.3,22.78,35,0,3.76
478,Kamakwie,22.58,9.5,-12.24,74,0,1.16
479,El Bagre,33.43,7.6,-74.8,45,8,1.41
480,Beisfjord,-6.0,68.38,17.6,92,48,5.1
481,Velingara,24.8,13.64,-16.01,32,20,2.06
482,Mirebalais,30.0,18.83,-72.1,62,20,5.7
483,Jalu,9.05,29.03,21.55,81,0,1.31
484,Zelenogorskiy,-22.0,55.03,87.0,83,40,1.0
485,Nelson Bay,20.0,-32.72,152.14,77,0,3.6
486,Les Cayes,28.03,18.19,-73.75,95,0,6.26
487,Hammerfest,-4.0,70.66,23.68,73,12,1.0
488,Codrington,22.0,-28.95,153.24,88,90,1.56
489,Porrentruy,10.0,47.42,7.08,93,75,9.8
490,Bom Jardim,31.0,-7.8,-35.59,48,0,7.2
491,Pucallpa,2.0,-8.38,-74.54,331,75,4.6
492,Oranjestad,29.0,12.52,-70.03,66,40,9.8
493,Bayonet Point,25.6,28.33,-82.68,51,1,4.1
494,Verkhnetulomskiy,-4.0,68.61,31.8,92,75,1.0
495,Omagari,-1.33,39.45,140.48,81,88,4.16
496,Szaszvar,-0.93,46.28,18.38,71,0,1.21
497,Mount Isa,26.0,-20.73,139.49,34,0,1.5
498,Kununurra,27.0,-15.77,128.74,83,0,1.5
499,Nhulunbuy,26.0,-12.18,136.78,94,0,2.96
500,Ronneby,7.0,56.21,15.28,93,92,6.2
501,Monoharpur,12.25,22.11,88.08,77,0,1.26
502,Dubrovnik,10.0,42.65,18.09,57,20,9.8
503,Baijiantan,-32.8,45.63,85.18,41,12,1.26
504,Accra,29.0,5.56,-0.21,79,0,3.1
505,Cap Malheureux,25.0,-19.98,57.61,88,20,2.1
506,Sudak,-3.08,44.85,34.97,100,0,4.16
507,Brive-la-Gaillarde,8.05,45.16,1.53,98,92,5.36
508,Portland,6.1,45.52,-122.67,70,90,4.6
509,Altay,-32.95,47.83,88.13,34,0,0.91
510,Angoram,23.78,-4.06,144.07,100,20,1.31
511,Ambilobe,21.95,-13.19,49.05,90,20,3.26
512,Rio Gallegos,19.0,-51.62,-69.22,22,20,15.4
513,Gamba,-22.2,28.28,88.52,60,48,0.81
514,Ashland,-0.6,38.48,-82.64,66,1,2.1
515,Savannah Bight,28.85,16.45,-85.85,90,8,6.91
516,Poum,0.18,41.28,20.71,95,76,0.71
517,Shakawe,24.43,-18.36,21.84,60,8,1.56
518,Bria,20.7,6.54,21.99,68,36,2.06
519,Ketchikan,9.0,55.34,-131.65,67,90,15.4
520,Santa Maria,24.5,-29.69,-53.81,38,0,3.46
521,Mumbwa,20.85,-14.99,27.06,86,24,2.71
522,Pochutla,32.0,15.74,-96.47,62,20,2.6
523,Yerbogachen,-26.08,61.28,108.01,66,56,1.21
524,Araouane,16.33,18.9,-3.53,27,0,4.01
525,Mairana,19.75,-18.12,-63.96,73,48,2.51
526,Minatitlan,31.0,19.39,-104.05,58,40,5.1
527,Egvekinot,-18.45,66.32,-179.17,76,24,4.91
528,Puerto Escondido,31.0,15.86,-97.07,55,20,3.21
529,Andra,-7.83,62.52,65.89,82,92,2.26
530,San Benito,19.1,6.13,-73.51,88,92,1.06
531,Mindelo,10.0,41.31,-8.72,100,8,1.0
532,Edd,21.28,13.93,41.69,99,68,1.21
533,Uddevalla,5.0,58.35,11.94,100,92,3.6
534,Guarapuava,23.1,-25.4,-51.46,42,0,2.21
535,Boz,11.0,46.41,4.91,76,90,5.1
536,Sabha,9.25,27.03,14.43,83,0,3.86
537,Nouadhibou,22.45,20.93,-17.03,54,0,7.26
538,Alto Araguaia,29.43,-17.32,-53.22,54,24,2.51
539,Areosa,11.0,41.72,-8.86,100,48,1.0
540,Beroroha,21.68,-21.68,45.17,90,8,1.26
541,College,-6.7,64.86,-147.8,88,90,2.41
542,Hirado,7.18,33.32,129.49,100,80,9.31
543,Charters Towers,19.6,-20.07,146.27,98,100,8.81
544,Finnsnes,-10.0,69.23,17.98,84,0,5.7
545,Turayf,9.0,31.68,38.65,87,0,2.1
546,Vestmannaeyjar,0.53,63.44,-20.27,100,92,2.91
547,Yuci,-9.0,37.68,112.73,40,0,1.0
548,Rawson,34.4,-43.3,-65.11,15,68,7.31
549,Mulanje,23.03,-16.03,35.5,79,36,1.16
550,Feldkirchen an der Donau,8.0,48.34,14.05,61,75,6.2
